date,forecast,lower,upper
2025-01-01,16.515494597777487,12.86426197221694,20.166727223338032
2025-02-01,16.405821299139628,12.753684758701198,20.05795783957806
2025-03-01,16.266686795378476,12.615277591388349,19.918095999368603
2025-04-01,16.26585342038849,12.615163296825546,19.91654354395143
2025-05-01,16.23128883952271,12.581309632611418,19.881268046434
2025-06-01,16.060767447624105,12.411491084736468,19.710043810511742
2025-07-01,15.950727481493812,12.302145980165834,19.599308982821793
2025-08-01,15.80936079322056,12.161466260178571,19.457255326262548
2025-09-01,15.782180552801044,12.13496518299782,19.429395922604268
2025-10-01,15.714408899350525,12.06786497501108,19.36095282368997
2025-11-01,15.55350990499498,11.907629794671994,19.199390015317967
2025-12-01,15.51256722986992,11.86734338751883,19.15779107222101
